Date,Weekly_Sales,rolling_mean,rolling_std,z_score,anomaly_stat,anomaly_ml
2010-02-05,49750740.5,,,,False,True
2010-02-12,48336677.63,,,,False,False
2010-02-19,48276993.78,,,,False,False
2010-02-26,43968571.13,47583245.760000005,2504186.629538549,-1.4434525715306152,False,False
2010-03-05,46871470.3,46863428.21,2045229.7069895342,0.003932120667185908,False,False
2010-03-12,45925396.51,46260607.93,1807831.4928679015,-0.1854218279316676,False,False
2010-03-19,44988974.64,45438603.145,1245423.0849687725,-0.36102470752842725,False,False
2010-03-26,44133961.05,45479950.62499999,1181453.1160441143,-1.139266177152084,False,False
2010-04-02,50423831.26,46368040.864999995,2801089.4324597996,1.4479332034173495,False,False
2010-04-09,47365290.44,46728014.3475,2817715.0958016487,0.22616768226480122,False,False
2010-04-16,45183667.08,46776687.457499996,2779078.274965175,-0.5732189668245167,False,False
2010-04-23,44734452.56,46926810.335,2599128.134164973,-0.843497381364902,False,False
2010-04-30,43705126.71,45247134.1975,1541778.57203743,-1.0001484749280596,False,False
2010-05-07,48503243.52,45531622.4675,2075505.6608724422,1.4317576234655396,False,False
2010-05-14,45330080.2,45568225.7475,2068603.2629459896,-0.11512383827570966,False,False
2010-05-21,45120108.06,45664639.6225,2025323.6425238934,-0.2688615049303539,False,False
2010-05-28,47757502.56,46677733.58500001,1706922.6192566329,0.6325822640221587,False,False
2010-06-04,50188543.12,47099058.485,2382155.387264014,1.2969282572907115,False,False
2010-06-11,47826546.72,47723175.115,2070898.48094207,0.049916307318440864,False,False
2010-06-18,47622046.23,48348659.6575,1229526.583965515,-0.5909700831001973,False,False
2010-06-25,46609036.29,48061543.089999996,1514627.1175363308,-0.9589863955180086,False,False
2010-07-02,48917484.5,47743778.435,946378.1804671596,1.240208290115715,False,False
2010-07-09,47899529.37,47762024.0975,949205.1287514674,0.14486360043257226,False,False
2010-07-16,46243899.58,47417487.434999995,1226547.6386131553,-0.9568220736431895,False,False
2010-07-23,44888849.11,46987440.64,1780815.8121687265,-1.1784438995093371,False,False
2010-07-30,44630363.42,45915660.37,1499978.5333447012,-0.8568768961873063,False,False
2010-08-06,48204999.12,45992027.807500005,1636237.0002064742,1.3524760240849836,False,False
2010-08-13,46464418.41,46047157.515,1651198.6469921293,0.2527018149876093,False,False
2010-08-20,47060952.92,46590183.467499994,1492868.038066012,0.31534565714856,False,False
2010-08-27,45909740.44,46910027.7225,983000.787131188,-1.0175854339031205,False,False
2010-09-03,47194257.61,46657342.345,590849.0363021465,0.9087181868998337,False,False
2010-09-10,45634397.84,46449837.2025,792521.2994100059,-1.0289179143917677,False,False
2010-09-17,43080726.51,45454780.6,1722514.044401634,-1.3782494823284308,False,False
2010-09-24,41358514.41,44316974.0925,2600971.4562556366,-1.137444117421807,False,False
2010-10-01,42239875.87,43078378.6575,1843389.9504440182,-0.45487000040226483,False,False
2010-10-08,45102974.23,42945522.754999995,1600979.9015765586,1.3475818608812389,False,False
2010-10-15,43149473.45,42962709.489999995,1603282.4902827018,0.11648849228502262,False,False
2010-10-22,43066669.52,43389748.2675,1213735.500308569,-0.26618546414590194,False,False
2010-10-29,43602830.95,43730487.0375,944854.0726222188,-0.1351066701186134,False,False
2010-11-05,45781981.89,43900238.9525,1276439.6893083993,1.4742121803808577,False,False
2010-11-12,46124800.83,44644070.7975,1534033.7125655476,0.9652526019285439,False,False
2010-11-19,45125584.18,45158799.4625,1117087.9175845406,-0.029733812332174914,False,False
2010-11-26,65821003.24,50713342.535000004,10080302.379737962,1.4987309046767625,False,False
2010-12-03,49909027.88,51745104.0325,9607427.080183879,-0.1911100794391723,False,False
2010-12-10,55666770.39,54130596.4225,8905753.355063517,0.1724923098871342,False,False
2010-12-17,61820799.85,58304400.34,6983403.0664492715,0.5035366678022668,False,False
2010-12-24,80931415.6,62082003.43,13474730.85894672,1.398871143870357,False,True
2010-12-31,40432519.0,59712876.21,16760796.544007966,-1.150324637577728,False,False
2011-01-07,42775787.77,56490130.555,18900816.002308354,-0.7255952750042679,False,False
2011-01-14,40673678.04,51203350.1025,19846632.640275918,-0.5305520716462262,False,False
2011-01-21,40654648.03,41134158.21,1099881.3864779728,-0.43596535580575785,False,False
2011-01-28,39599852.99,40925991.7075,1331375.097285964,-0.9960669387638109,False,False
2011-02-04,46153111.12,41770322.545,2964632.2186796106,1.478358275736477,False,False
2011-02-11,47336192.79,43435951.2325,3874968.356491754,1.0065221696496962,False,False
2011-02-18,48716164.12,45451330.254999995,4039147.1668818556,0.8082978238003622,False,False
2011-02-25,44125859.84,46582831.9675,1944224.8364370258,-1.263728392649602,False,False
2011-03-04,46980603.74,46789705.122499995,1927209.2959370706,0.09905442958502655,False,False
2011-03-11,44627319.4,46112486.775,2135819.241135866,-0.6953619231420362,False,False
2011-03-18,44872325.97,45151527.237500004,1258340.3973702516,-0.221880556392766,False,False
2011-03-25,42876199.18,44839112.072500005,1681762.2587260643,-1.167176205979859,False,False
2011-04-01,43458991.19,43958708.935,949259.5772297975,-0.5264289736831728,False,False
2011-04-08,45887466.8,44273745.785,1363739.3831358973,1.1833060150314603,False,False
2011-04-15,44973328.14,44298996.3275,1379362.4359722824,0.48887210127965985,False,False
2011-04-22,48676692.06,45749119.5475,2193654.5595570323,1.3345640496337636,False,False
2011-04-29,43530032.78,45766879.945,2169082.5588242426,-1.0312411373647707,False,False
2011-05-06,46861958.29,46010502.8175,2240684.7477988442,0.3799978882957234,False,False
2011-05-13,45446144.82,46128706.9875,2179364.139034482,-0.31319326370231565,False,False
2011-05-20,44046598.01,44971183.474999994,1498042.198790408,-0.6171958745531677,False,False
2011-05-27,45293457.04,45412039.54,1152087.949895047,-0.10292833981190641,False,False
2011-06-03,48771994.18,45889548.5125,2021294.2601927174,1.4260396045577124,False,False
